id,Name,titleProject_id,class,score,login,password
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,ndAPrTtK
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,gsZ4lOIT
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,enVnrejB
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,aGgnXFj2
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,pFsrXwhL
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,0erB4cs6
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,8NvhH617
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,91GnHY35
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,1AGzggCg
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,bqii756z
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,iiTWxyHY
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,Bs7cMwuo
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,Z3APlyN6
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,puqPvDsc
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,MExeXuTC
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,EFNa5KTv
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,pDBwIF5U
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,IrvK0wAK
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,pCEmiGvT
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,WCvjWvPc
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,9ORZ0npw
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,5Q5kuvkF
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,S7pCT8Fc
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,Gify5mg5
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,9kUlkMkU
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,1cRfZGim
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,CZpWnrMh
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,YMQGX4Dm
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,cFGnlFIb
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,y5IMqQQi
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,JIyKpOK1
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,Fvr190Ey
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,QFOocfB1
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,49FKrnnE
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,tu38mS5F
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,WH4XlHEn
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,Rz8zAxQW
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,wMHtTI6f
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,UbWaGBrI
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,W28UMDkD
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,1sGM4RlI
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,QnMAFxJw
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,ha3xou7I
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,FOFP0oJJ
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,TNqQ4bfB
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,yk7ESUon
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,Lrmulv86
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,nicjM5Lh
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,FiyuIxsJ
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,N3XzYbev
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,moosBYo5
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,JDaaoupU
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,35kZFtBj
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,pK7I2Yfg
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,93QR96Zn
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,oQHZuQns
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,Dxk7NwsU
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,KRNa56Sc
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,PlXOF2gZ
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,T4Qb9wi6
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,lCmC0JMC
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,8dI9E7oh
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,MIPmAwPc
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,KxvCcu8f
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,vplELVCA
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,Pp3dr930
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,4wbpvAEt
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,vurrDbID
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,HSrFj7GC
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,4pb3Xzmj
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,3gfoiDLH
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,CvY33yGv
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,ycZLvPRm
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,Z9GobfWE
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,6VrpeZgW
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,wXeuN2XI
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,OvCvVvTj
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,KhE04xhI
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,MQQWIXZD
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,d4rCVFlB
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,74MLlby3
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,bNyoBnT0
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,f2LdnMDw
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,LZG0kRYG
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,KaCiSCQf
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,RS7PLmDL
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,8UL3TZEJ
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,ZXvAPcQn
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,xGbTNK3c
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,gCDTmFoP
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,v1Lo5Mlr
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,qHiZvcqW
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,3FPocgNu
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,TpnepMNH
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,AxG39EYQ
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,s3FvpWWt
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,dwkENh2x
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,s9lnekAZ
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,DD2AhC3y
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,KhDlPSSc
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,ohmKHLUc
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,anDsyhoj
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,0CKxFWai
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,93jvjOrr
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,LNAc1dQu
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,lonUxtgu
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,UjJEblHs
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,PQWij2fZ
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,5uCODi84
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,c7zvnLXY
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,jK3oTpBQ
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,48DagTgl
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,XhJfFkHQ
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,eFAHOrsG
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,cCG8HARM
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,s8UTnLfR
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,UuMJSTOx
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,byqGk1mj
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,NzBXy9DQ
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,tSzqa0Ds
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,5U0c2UzU
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,tLSR1cl2
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,MXV1DtiY
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,2tYiLy8P
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,pB2nfd7P
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,q6vbcCzs
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,iPHGpA0L
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,jqf9kktm
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,hRhzoxVx
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,HvQnkLRy
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,OlZbcywj
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,uofK35hp
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,Dqgd0dPw
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,jh8yaXC8
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,zAmcTCkc
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,bZttknGt
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,JsmrhwUV
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,PZy2OPip
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,S38zT3Mj
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,s0j9PPyK
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,8QzJEQoE
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,ouwtkoW5
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,zwm2jR23
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,YtbjhpaU
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,edQNT4kW
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,8EDSunPO
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,vCG9ckgX
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,cY1mgHqm
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,ZJDONiTw
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,mcMtIQwc
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,gRWjwbi8
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,b0kVD1bv
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,9IEgUSl9
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,zN8ITODI
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,7UEImQnK
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,EGMgNOx8
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,yjaEKGBt
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,2kPWiPuZ
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,4CrIiIaF
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,U8XO75TJ
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,DR6RVuWN
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,3YNRiM8D
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,tgn0Bqvc
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,HLm7UCfU
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,KPe5bcfo
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,sByJynAu
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,o7oC9ytb
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,KqeVjDuc
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,bBSLhR4n
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,fhz1DrZf
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,sqJZTeYs
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,UUidFTB1
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,Uk1GCxQk
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,9OUetoHz
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,E233QPMy
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,ocuDfnk6
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,c1wjkTs8
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,7ynBTdoB
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,2DC9fLVw
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,7eaW7fol
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,CBJrwqat
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,axS6yWiN
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,AARWKmYE
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,ed8affo6
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,fn6Ww9Ge
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,gNEMAjvN
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,s9VQEBXB
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,n1eT0GV6
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,L7XcU8Wn
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,C0O00Oij
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,x36ElSFp
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,RSGck4bu
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,MiLxUKKC
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,ciLAAlM7
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,qOJPmsaK
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,eshmUmHn
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,zRBjOO9V
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,0wxALCJv
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,aBg6Ms9I
278,Углова Галина Романовна,260,9г,3,Углова_ГР,GjLwkpT4
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,SPEUPAgK
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,01M9zK8j
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,ySbZTH8A
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,DErxfLKi
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,fWZIFRVS
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,a5G4xahn
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,4o6li8K8
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,AesLfY4b
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,cnQXDTeI
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,YdXCZzWY
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,C8cM2RSz
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,Ivy66nBV
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,kmwpDwpx
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,387rgCxQ
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,okoOOusP
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,DGKqj5Yk
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,9TypPPr1
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,4Kf0yaHZ
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,yZXqp7Z6
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,yS2xYVwY
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,FVQEHH8e
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,8aI45XQn
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,0Vlk5DNK
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,C8RmmaJY
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,big9ROTW
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,I1GmeuBF
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,KhM31u5W
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,UcLd6xUr
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,qYx2s9Lx
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,BIvZXKUe
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,0casWZWD
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,o7UZPQhV
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,ljg207vr
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,HOxC2LkI
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,T8oNRybD
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,sPrTsyZj
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,H9330IOO
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,4Mz4PgMN
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,RKHgS7O6
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,nYSvetQB
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,XUZghpsT
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,CsXinpZY
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,FCHP3aoe
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,UEdTexaa
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,aDbvHGda
